City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.6,74,20,11.5,few clouds
1,Mathbaria,BD,22.2876,89.9593,82.6,53,0,2.48,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,39.2,75,0,6.91,clear sky
3,Cherskiy,RU,68.75,161.3,2.53,86,48,3.44,scattered clouds
4,Havelock,US,34.8791,-76.9013,60.01,76,1,10.36,clear sky
5,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,90,17.27,light rain
6,Jamestown,US,42.097,-79.2353,44.6,53,1,3.44,clear sky
7,Cape Town,ZA,-33.9258,18.4232,64.0,88,0,10.36,clear sky
8,Mataura,NZ,-46.1927,168.8643,57.0,58,100,25.99,overcast clouds
9,Lata,PT,40.1629,-8.3327,55.0,93,75,3.44,mist
10,Rikitea,PF,-23.1203,-134.9692,78.12,65,14,17.67,few clouds
11,Guerrero Negro,MX,27.9769,-114.0611,61.39,79,51,16.53,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,63.0,91,100,1.01,overcast clouds
13,Hambantota,LK,6.1241,81.1185,73.4,100,20,3.44,few clouds
14,Nikolskoye,RU,59.7035,30.7861,37.99,70,75,6.71,broken clouds
15,Geraldton,AU,-28.7667,114.6,77.0,69,90,16.11,overcast clouds
16,Qaanaaq,GL,77.484,-69.3632,-11.81,56,16,9.82,few clouds
17,Kapaa,US,22.0752,-159.319,75.2,60,90,16.11,overcast clouds
18,Muros,ES,42.7762,-9.0603,51.01,68,0,1.99,clear sky
19,Hilo,US,19.7297,-155.09,75.2,73,90,5.75,heavy intensity rain
20,Frolishchi,RU,56.4211,42.6533,25.48,95,94,5.44,light snow
21,Bethel,US,41.3712,-73.414,53.6,35,1,10.6,clear sky
22,Yeppoon,AU,-23.1333,150.7333,75.2,88,90,11.5,light rain
23,Yellowknife,CA,62.456,-114.3525,24.01,46,75,4.61,broken clouds
24,Joshimath,IN,30.5667,79.5667,59.61,36,38,2.46,scattered clouds
25,Povorino,RU,51.1945,42.2457,33.01,91,16,6.13,few clouds
26,Rudnyy,KZ,52.9594,63.1206,28.4,100,90,8.95,mist
27,Thompson,CA,55.7435,-97.8558,39.2,38,90,4.61,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,62.6,94,100,3.44,light rain
29,Butaritari,KI,3.0707,172.7902,82.51,78,92,14.23,overcast clouds
30,Tarakan,ID,3.3,117.6333,81.5,76,96,6.49,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,31,2.66,scattered clouds
32,Caravelas,BR,-17.7125,-39.2481,76.39,78,9,7.0,clear sky
33,Carutapera,BR,-1.195,-46.02,75.56,95,100,6.02,overcast clouds
34,Beringovskiy,RU,63.05,179.3167,9.79,75,100,8.66,overcast clouds
35,Harur,IN,12.0667,78.5,80.1,64,14,2.01,few clouds
36,Maceio,BR,-9.6658,-35.7353,75.2,94,75,2.3,broken clouds
37,Ushuaia,AR,-54.8,-68.3,39.2,75,40,19.57,light snow
38,Kungurtug,RU,50.5994,97.5228,29.61,70,4,1.34,clear sky
39,Norman Wells,CA,65.282,-126.8329,30.2,55,75,5.75,broken clouds
40,Carnarvon,AU,-24.8667,113.6333,82.4,65,88,19.57,overcast clouds
41,Cacheu,GW,12.2706,-16.1658,73.4,83,0,6.91,clear sky
42,Zlocieniec,PL,53.5329,16.0113,37.99,82,100,8.01,overcast clouds
43,Severo-Kurilsk,RU,50.6789,156.125,29.89,80,100,14.12,overcast clouds
44,Asau,RO,46.4333,26.4,33.01,66,12,3.29,light snow
45,Lorengau,PG,-2.0226,147.2712,81.43,78,100,4.56,overcast clouds
46,Santa Cruz Del Sur,CU,20.7147,-77.9956,71.42,59,0,18.97,clear sky
47,San Cristobal,VE,7.7669,-72.225,77.0,94,75,2.3,broken clouds
48,Iqaluit,CA,63.7506,-68.5145,10.4,79,90,11.5,light snow
49,Provideniya,RU,64.3833,-173.3,8.6,61,0,2.24,clear sky
50,Annau,TM,37.8876,58.516,44.6,76,0,4.61,clear sky
51,Pisco,PE,-13.7,-76.2167,73.4,83,20,2.3,few clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,73,53,10.96,broken clouds
53,Bondo,CD,3.8146,23.6866,71.28,82,49,2.04,scattered clouds
54,Muborak,UZ,39.2553,65.1528,48.61,54,3,3.24,clear sky
55,Upernavik,GL,72.7868,-56.1549,-16.49,95,70,5.53,broken clouds
56,Dikson,RU,73.5069,80.5464,9.72,91,100,6.31,overcast clouds
57,Albany,US,42.6001,-73.9662,48.99,53,27,1.01,scattered clouds
58,Barrow,US,71.2906,-156.7887,-0.4,65,1,12.66,clear sky
59,Mogadishu,SO,2.0371,45.3438,80.91,78,84,5.57,broken clouds
60,Faanui,PF,-16.4833,-151.75,82.33,75,16,14.99,few clouds
61,Shimoda,JP,34.6667,138.95,64.4,82,75,13.8,broken clouds
62,Mandalgovi,MN,45.7625,106.2708,42.06,19,67,6.31,broken clouds
63,Hami,CN,42.8,93.45,54.77,30,53,11.41,broken clouds
64,Hobart,AU,-42.8794,147.3294,66.99,52,40,9.22,scattered clouds
65,Karratha,AU,-20.7377,116.8463,92.35,26,44,5.64,scattered clouds
66,Gambela,ET,8.25,34.5833,81.05,54,99,1.25,overcast clouds
67,Pevek,RU,69.7008,170.3133,-4.23,89,96,5.46,overcast clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,68.0,94,75,5.75,broken clouds
69,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,6.91,clear sky
70,Talnakh,RU,69.4865,88.3972,9.12,74,100,12.1,overcast clouds
71,Atuona,PF,-9.8,-139.0333,80.13,79,76,8.55,light rain
72,Kirs,RU,59.3388,52.2447,14.11,98,57,2.98,broken clouds
73,Dongsheng,CN,39.8161,109.9776,39.99,64,98,20.83,light rain
74,Tasiilaq,GL,65.6145,-37.6368,21.2,73,90,14.97,light snow
75,East London,ZA,-33.0153,27.9116,68.23,71,76,13.31,broken clouds
76,Fortuna,US,40.5982,-124.1573,53.01,87,90,10.36,overcast clouds
77,Victoria,HK,22.2855,114.1577,73.0,84,100,3.0,overcast clouds
78,Potsdam,DE,52.3989,13.0657,39.99,85,98,3.0,overcast clouds
79,San Estanislao,CO,10.3983,-75.1511,80.6,78,40,8.05,scattered clouds
80,Christchurch,NZ,-43.5333,172.6333,84.99,20,5,18.41,clear sky
81,Elat,IL,29.5581,34.9482,64.4,29,0,16.11,clear sky
82,Palafrugell,ES,41.9174,3.1631,46.0,81,40,2.3,scattered clouds
83,Cidreira,BR,-30.1811,-50.2056,72.63,76,4,18.63,clear sky
84,Baft,IR,29.234,56.6057,46.99,13,6,3.09,clear sky
85,Kokoda,PG,-8.8785,147.7407,88.65,59,98,4.41,overcast clouds
86,Virginia Beach,US,36.8529,-75.978,55.99,66,1,1.34,clear sky
87,Kaitangata,NZ,-46.2817,169.8464,57.99,53,92,15.01,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,83.08,75,40,16.08,scattered clouds
89,New Norfolk,AU,-42.7826,147.0587,68.0,49,70,3.0,broken clouds
90,Katsuura,JP,35.1333,140.3,62.6,100,75,13.8,mist
91,Ajaccio,FR,42.0,8.9167,46.4,87,0,10.36,clear sky
92,Nemuro,JP,43.3236,145.575,39.2,52,75,9.22,broken clouds
93,Saskylakh,RU,71.9167,114.0833,-5.8,86,5,5.39,clear sky
94,Kruisfontein,ZA,-34.0033,24.7314,64.99,83,100,10.58,light rain
95,Beyla,GN,8.6833,-8.6333,73.29,77,48,4.32,scattered clouds
96,Korla,CN,41.7597,86.1469,50.88,24,66,7.43,broken clouds
97,Bulgan,MN,48.8125,103.5347,36.1,51,18,6.42,few clouds
98,Leningradskiy,RU,69.3833,178.4167,7.43,82,100,1.59,overcast clouds
99,Atar,MR,20.5169,-13.0499,78.85,12,54,9.04,broken clouds
100,Bambous Virieux,MU,-20.3428,57.7575,80.01,77,25,5.99,scattered clouds
101,Hervey Bay,AU,-25.2986,152.8535,77.0,95,100,5.99,overcast clouds
102,Ayorou,NE,14.7308,0.9174,78.76,8,0,7.11,clear sky
103,Bluff,NZ,-46.6,168.3333,57.0,58,100,25.99,overcast clouds
104,Buraydah,SA,26.326,43.975,59.0,36,0,2.3,clear sky
105,Massakory,TD,12.996,15.7293,81.16,12,0,13.58,clear sky
106,Beeville,US,28.4008,-97.7483,66.99,82,1,5.75,clear sky
107,Maniitsoq,GL,65.4167,-52.9,22.64,82,100,6.78,overcast clouds
108,Abbeville,FR,50.1,1.8333,46.0,70,56,13.91,broken clouds
109,Port Alfred,ZA,-33.5906,26.891,68.09,83,100,11.92,overcast clouds
110,Georgetown,MY,5.4112,100.3354,87.01,84,20,5.75,few clouds
111,Jamsa,FI,61.8642,25.19,35.6,93,90,12.66,light rain
112,Camacha,PT,33.0833,-16.3333,59.0,77,20,1.32,few clouds
113,Sept-Iles,CA,50.2001,-66.3821,36.0,93,90,8.05,overcast clouds
114,Chokurdakh,RU,70.6333,147.9167,-8.27,85,6,4.21,clear sky
115,Sao Filipe,CV,14.8961,-24.4956,73.53,71,0,7.11,clear sky
116,Mackay,AU,-21.15,149.2,77.0,83,90,5.75,light rain
117,Manggar,ID,-2.8833,108.2667,85.24,66,99,8.16,overcast clouds
118,Labuhan,ID,-6.8844,112.2051,82.22,75,100,6.62,overcast clouds
119,Tetlanohcan,MX,19.2625,-98.1653,60.8,31,40,4.61,scattered clouds
120,Muzaffarabad,PK,34.37,73.4711,59.94,73,99,6.24,overcast clouds
121,Paita,PE,-5.0892,-81.1144,71.98,78,46,10.49,scattered clouds
122,Camargo,MX,27.6667,-105.1667,77.97,23,0,8.95,clear sky
123,Airai,TL,-8.9266,125.4092,64.4,90,100,4.88,overcast clouds
124,Port Maria,JM,18.3685,-76.8895,77.0,93,46,1.01,scattered clouds
125,Lagoa,PT,39.05,-27.9833,59.81,84,40,15.37,scattered clouds
126,Isla Vista,US,34.4133,-119.861,66.0,68,99,1.99,overcast clouds
127,Ilulissat,GL,69.2167,-51.1,19.4,73,75,11.5,broken clouds
128,Akersberga,SE,59.4794,18.2997,42.01,83,100,5.99,overcast clouds
129,Srednekolymsk,RU,67.45,153.6833,11.71,78,32,11.12,scattered clouds
130,Hasaki,JP,35.7333,140.8333,55.4,94,75,18.41,mist
131,Kodiak,US,57.79,-152.4072,46.4,46,20,16.11,few clouds
132,Shu,KZ,43.5983,73.7614,45.0,53,100,7.99,overcast clouds
133,Mahebourg,MU,-20.4081,57.7,80.01,77,25,5.99,scattered clouds
134,Hibbing,US,47.4272,-92.9377,48.2,46,1,3.44,clear sky
135,Stanislav,UA,46.5691,32.1478,35.6,93,40,0.65,mist
136,Constitucion,CL,-35.3333,-72.4167,57.0,85,97,6.82,overcast clouds
137,Busselton,AU,-33.65,115.3333,75.0,71,3,1.01,clear sky
138,Lebu,CL,-37.6167,-73.65,54.07,90,100,12.5,overcast clouds
139,Huilong,CN,31.8111,121.655,61.0,44,3,12.1,clear sky
140,Moron,AR,-34.6534,-58.6198,72.0,91,0,3.0,clear sky
141,Umba,RU,66.6871,34.3429,33.78,99,100,11.56,overcast clouds
142,Camabatela,AO,-8.1881,15.375,62.33,94,100,4.34,overcast clouds
143,Bengkulu,ID,-3.8004,102.2655,81.68,70,100,8.66,overcast clouds
144,Assiniboia,CA,49.6334,-105.9845,51.8,35,100,10.36,overcast clouds
145,Prince Rupert,CA,54.3161,-130.3201,42.8,81,90,3.44,overcast clouds
146,Codrington,AU,-38.2667,141.9667,64.26,51,4,10.65,clear sky
147,Hay River,CA,60.8156,-115.7999,19.4,58,82,5.75,broken clouds
148,Tipuani,BO,-15.5648,-68.0185,68.32,97,85,2.1,overcast clouds
149,Kahului,US,20.8947,-156.47,73.4,88,75,19.57,light rain
150,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,90,17.27,snow
151,Khatanga,RU,71.9667,102.5,-0.36,81,10,14.56,clear sky
152,Denpasar,ID,-8.65,115.2167,86.0,74,20,8.05,few clouds
153,Juegang,CN,32.3174,121.1855,59.0,44,6,1.99,clear sky
154,Ribeira Grande,PT,38.5167,-28.7,61.21,79,94,14.45,overcast clouds
155,Bereda,ES,43.2686,-7.5406,37.0,100,34,1.01,scattered clouds
156,Suihua,CN,46.6406,126.9969,55.78,23,42,15.86,scattered clouds
157,Vardo,NO,70.3705,31.1107,35.6,86,89,14.56,overcast clouds
158,Northam,GB,51.0333,-4.2167,46.99,89,96,4.0,overcast clouds
159,Kudahuvadhoo,MV,2.6708,72.8944,83.71,72,30,11.52,scattered clouds
160,Avarua,CK,-21.2078,-159.775,80.6,89,40,6.91,light rain
161,Tefe,BR,-3.3542,-64.7114,73.58,98,60,2.46,light rain
162,Winslow,US,35.0242,-110.6974,66.0,21,3,9.19,clear sky
163,Ryotsu,JP,38.0833,138.4333,50.0,66,75,13.8,broken clouds
164,Ponta Do Sol,PT,32.6667,-17.1,55.99,67,91,5.01,overcast clouds
165,Elk Plain,US,47.0532,-122.3976,46.4,42,75,4.61,broken clouds
166,Chuy,UY,-33.6971,-53.4616,67.5,88,0,9.84,clear sky
167,Wanlaweyn,SO,2.6185,44.8938,79.41,79,61,5.39,broken clouds
168,Quelimane,MZ,-17.8786,36.8883,71.15,93,75,2.46,light rain
169,Murgab,TM,37.4966,61.9714,48.2,61,75,6.91,broken clouds
170,Kodinsk,RU,58.6881,99.1844,31.51,93,100,4.41,overcast clouds
171,Sorkjosen,NO,69.8,20.9333,21.74,90,100,3.09,overcast clouds
172,Dunedin,NZ,-45.8742,170.5036,60.01,66,71,25.99,broken clouds
173,Flores,GT,16.9226,-89.8994,72.34,71,100,3.09,overcast clouds
174,Narsaq,GL,60.9167,-46.05,35.6,93,90,1.14,mist
175,Torbay,CA,47.6666,-52.7314,37.99,93,90,9.22,light rain
176,Verkhnevilyuysk,RU,63.4453,120.3167,-0.27,86,100,6.82,overcast clouds
177,Lixourion,GR,38.2019,20.4314,55.71,74,100,13.69,overcast clouds
178,Qaqortoq,GL,60.7167,-46.0333,35.6,93,90,1.14,mist
179,Pimentel,PE,-6.8367,-79.9342,71.01,83,78,3.0,broken clouds
180,Sovetskaya,RU,44.7769,41.1722,47.84,89,100,6.26,light rain
181,Coquimbo,CL,-29.9533,-71.3436,59.0,72,0,6.91,clear sky
182,Skagen,DK,57.7209,10.5839,42.01,68,1,38.99,clear sky
183,San Quintin,MX,30.4833,-115.95,62.76,72,9,14.18,clear sky
184,Nouadhibou,MR,20.931,-17.0347,64.4,77,0,14.97,clear sky
185,Bara,NG,10.3744,10.7288,76.57,16,14,7.07,few clouds
186,Yangmei,CN,24.1023,112.5618,65.17,73,75,3.29,broken clouds
187,Vestmannaeyjar,IS,63.4427,-20.2734,20.89,56,31,25.41,scattered clouds
188,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.61,90,53,5.26,broken clouds
189,Nago,JP,26.5881,127.9761,71.6,60,75,19.57,broken clouds
190,Yulara,AU,-25.2406,130.9889,80.6,26,0,16.11,clear sky
191,Deyang,CN,31.1302,104.382,63.0,68,100,3.78,overcast clouds
192,Yakeshi,CN,49.2833,120.7333,39.74,40,59,18.19,broken clouds
193,Saldanha,ZA,-33.0117,17.9442,60.8,88,13,5.75,few clouds
194,Saumur,FR,47.3333,-0.25,37.99,93,4,6.11,clear sky
195,Ginir,ET,7.1333,40.7,57.7,77,12,3.76,few clouds
196,Tura,IN,25.5198,90.2201,82.22,22,0,3.98,clear sky
197,The Valley,AI,18.217,-63.0578,78.8,73,20,6.91,few clouds
198,San Patricio,US,28.017,-97.5169,71.6,77,75,11.5,broken clouds
199,Datong,CN,40.0936,113.2914,49.82,39,100,2.33,light rain
200,Altamira,BR,-3.2033,-52.2064,74.1,95,72,3.2,broken clouds
201,Wanning,CN,18.8003,110.3967,80.46,75,28,9.37,scattered clouds
202,Cururupu,BR,-1.8283,-44.8683,75.25,96,98,4.21,overcast clouds
203,Jizan,SA,17.3333,42.6667,80.6,78,0,3.44,clear sky
204,Touros,BR,-5.1989,-35.4608,77.0,88,20,6.91,few clouds
205,Klamath Falls,US,42.2249,-121.7817,57.2,44,1,19.57,clear sky
206,Beyneu,KZ,45.3167,55.2,45.48,81,13,8.21,few clouds
207,Narasannapeta,IN,18.4167,84.05,81.7,76,1,2.59,clear sky
208,Cheremukhovo,RU,60.3484,59.9851,31.1,98,100,3.0,light snow
209,Chachapoyas,PE,-6.2317,-77.869,52.27,94,98,3.65,overcast clouds
210,Nanortalik,GL,60.1432,-45.2371,33.55,89,71,5.46,broken clouds
211,Sergeyevka,KZ,53.88,67.4158,29.8,98,100,6.98,overcast clouds
212,Birjand,IR,32.8663,59.2211,35.6,38,0,6.91,clear sky
213,Bafata,GW,12.1667,-14.75,75.24,61,95,5.3,overcast clouds
214,Tessalit,ML,20.1986,1.0114,78.37,7,72,10.89,broken clouds
215,Longyearbyen,SJ,78.2186,15.6401,23.0,63,75,25.32,broken clouds
216,Boyolangu,ID,-8.1181,111.8935,79.57,84,100,4.07,overcast clouds
217,Alice Springs,AU,-23.7,133.8833,84.0,32,0,8.05,clear sky
218,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,90,4.61,overcast clouds
219,Bhadrachalam,IN,17.6667,80.8833,82.85,66,34,6.24,scattered clouds
220,Lufilufi,WS,-13.8745,-171.5986,87.8,79,40,13.8,moderate rain
221,Sambava,MG,-14.2667,50.1667,75.54,89,92,4.52,overcast clouds
222,Bose,IT,45.4612,8.0137,45.0,77,64,2.28,broken clouds
223,Opunake,NZ,-39.4556,173.8583,66.99,75,100,11.99,overcast clouds
224,Hamilton,US,39.1834,-84.5333,60.8,41,40,3.44,scattered clouds
225,Kavaratti,IN,10.5669,72.642,82.27,68,100,11.95,overcast clouds
226,Carhuamayo,PE,-10.9167,-76.0333,37.96,96,100,3.98,overcast clouds
227,Homer,US,59.6425,-151.5483,37.4,70,1,25.32,clear sky
228,Nabire,ID,-3.3667,135.4833,87.1,61,18,4.21,few clouds
